dataset_name,before_fix_global_accuracy,new_global_accuracy,valid_global_data_size,runtimes
amazon,0.5963795962743811,0.7803558276675802,188660,"{'snorkel_first_run': 522.3994128704071, 'snorkel_run_after_fix': 820.026937007904, 'solver_runtime': 8.426263809204102, 'repair_time': 37.80212473869324}"
amazon,0.5963795962743811,0.738830909209333,188660,"{'snorkel_first_run': 478.0424790382385, 'snorkel_run_after_fix': 769.4857699871063, 'solver_runtime': 5.188779592514038, 'repair_time': 119.08015322685242}"
fakenews,0.708314494981463,0.8656750158242156,42444,"{'snorkel_first_run': 18.931398153305054, 'snorkel_run_after_fix': 28.732993364334106, 'solver_runtime': 0.7787909507751465, 'repair_time': 29.69656753540039}"
fakenews,0.708314494981463,0.5282801338276517,42444,"{'snorkel_first_run': 19.902557373046875, 'snorkel_run_after_fix': 28.12128257751465, 'solver_runtime': 0.7732627391815186, 'repair_time': 56.78026628494263}"
fakenews,0.708314494981463,0.5889773035536667,42444,"{'snorkel_first_run': 24.291585206985474, 'snorkel_run_after_fix': 30.042585372924805, 'solver_runtime': 1.1017043590545654, 'repair_time': 21.051252841949463}"
fakenews,0.708314494981463,0.6402025499593091,42444,"{'snorkel_first_run': 19.32755422592163, 'snorkel_run_after_fix': 30.154894828796387, 'solver_runtime': 1.2855994701385498, 'repair_time': 69.4115788936615}"
fakenews,0.708314494981463,0.7037932905325979,42444,"{'snorkel_first_run': 19.375795602798462, 'snorkel_run_after_fix': 29.18569302558899, 'solver_runtime': 1.0290381908416748, 'repair_time': 42.769498348236084}"
fakenews,0.708314494981463,0.7313726376706755,42444,"{'snorkel_first_run': 22.607319831848145, 'snorkel_run_after_fix': 29.437487363815308, 'solver_runtime': 1.0864248275756836, 'repair_time': 44.35408067703247}"
fakenews,0.708314494981463,0.7220589565060131,42444,"{'snorkel_first_run': 19.67225456237793, 'snorkel_run_after_fix': 28.870389223098755, 'solver_runtime': 1.3902759552001953, 'repair_time': 47.16602039337158}"
fakenews,0.708314494981463,0.7530744190252283,42444,"{'snorkel_first_run': 19.798696994781494, 'snorkel_run_after_fix': 29.17576575279236, 'solver_runtime': 0.9940147399902344, 'repair_time': 37.2817747592926}"
fakenews,0.708314494981463,0.7686273623293245,42444,"{'snorkel_first_run': 18.704912900924683, 'snorkel_run_after_fix': 38.37428617477417, 'solver_runtime': 1.4270319938659668, 'repair_time': 26.593345403671265}"
fakenews,0.708314494981463,0.616262772402568,42444,"{'snorkel_first_run': 26.1093533039093, 'snorkel_run_after_fix': 30.013520002365112, 'solver_runtime': 1.0773613452911377, 'repair_time': 39.756754875183105}"
fakenews,0.708314494981463,0.942422461343702,42444,"{'snorkel_first_run': 19.44872498512268, 'snorkel_run_after_fix': 28.357983589172363, 'solver_runtime': 1.0128612518310547, 'repair_time': 23.0253586769104}"
fakenews,0.708314494981463,0.6863414413599783,42444,"{'snorkel_first_run': 19.639496564865112, 'snorkel_run_after_fix': 29.49389410018921, 'solver_runtime': 0.8925571441650391, 'repair_time': 25.198388814926147}"
fakenews,0.708314494981463,0.7805407360520843,42444,"{'snorkel_first_run': 19.257089614868164, 'snorkel_run_after_fix': 30.75363254547119, 'solver_runtime': 0.910067081451416, 'repair_time': 20.208437204360962}"
fakenews,0.708314494981463,0.9505154173071706,42444,"{'snorkel_first_run': 19.381770133972168, 'snorkel_run_after_fix': 30.25922203063965, 'solver_runtime': 0.8537261486053467, 'repair_time': 30.800377130508423}"
