dataset_name,before_fix_global_accuracy,new_global_accuracy,user_input_size,repair_time,min_non_abstain_thresh,random_state,confirm_prev_rate,complain_fix_rate,global_accuracy_on_valid_data,new_global_accuracy_on_valid,valid_global_data_size,new_valid_global_data_size,runtimes,optimal_objective_value,avg_tree_depth,tree_cnt_after_fix,avg_tree_size,runtime_total,lf_acc_thresh,instance_acc_thresh
fakenews,0.708314494981463,0.9228908581246044,40,480.00934624671936,0.8,6,1.0,0.95,0.7382197719347846,0.9228908581246044,42444,44236,"{'snorkel_first_run': 155.03129482269287, 'snorkel_run_after_fix': 192.82571816444397, 'solver_runtime': 3.953681707382202, 'repair_time': 480.00934624671936}",276.0,6.727272727272728,11,14.454545454545457,831.8200409412384,0.7,0.8
fakenews,0.708314494981463,0.9402296771860024,40,123.7966694831848,0.8,11,1.0,1.0,0.7382197719347846,0.9402296771860024,42444,44236,"{'snorkel_first_run': 19.39814591407776, 'snorkel_run_after_fix': 31.044892072677612, 'solver_runtime': 2.4404900074005127, 'repair_time': 123.79666948318481}",291.0,5.454545454545454,11,13.181818181818182,176.6801974773407,0.7,0.8
fakenews,0.708314494981463,0.9342164752690116,40,98.30701398849487,0.8,12,1.0,1.0,0.7382197719347846,0.9342164752690116,42444,44236,"{'snorkel_first_run': 19.393247365951538, 'snorkel_run_after_fix': 29.856751918792725, 'solver_runtime': 2.100862741470337, 'repair_time': 98.30701398849487}",277.0,4.636363636363637,11,9.363636363636363,149.65787601470947,0.7,0.8
fakenews,0.708314494981463,0.8386608192422461,40,114.046852350235,0.8,13,0.95,1.0,0.7382197719347846,0.8386608192422461,42444,44236,"{'snorkel_first_run': 20.297287702560425, 'snorkel_run_after_fix': 33.53718900680542, 'solver_runtime': 2.332167148590088, 'repair_time': 114.04685235023499}",293.0,6.090909090909091,11,14.090909090909092,170.21349620819092,0.7,0.8
fakenews,0.708314494981463,0.9519848087530518,40,81.19669222831726,0.8,14,1.0,1.0,0.7382197719347846,0.9519848087530518,42444,44236,"{'snorkel_first_run': 19.960296392440796, 'snorkel_run_after_fix': 31.82639789581299, 'solver_runtime': 102.0939371585846, 'repair_time': 81.19669222831726}",278.0,5.454545454545454,11,12.272727272727272,235.07732367515564,0.7,0.8
fakenews,0.708314494981463,0.9373135003164844,40,143.51384019851685,0.8,15,1.0,1.0,0.7382197719347846,0.9373135003164844,42444,44236,"{'snorkel_first_run': 20.123281002044678, 'snorkel_run_after_fix': 33.19366216659546, 'solver_runtime': 2.033473014831543, 'repair_time': 143.51384019851685}",281.0,5.818181818181818,11,14.272727272727272,198.86425638198853,0.7,0.8
imdb,0.42778,0.61888,40,44.50043702125549,0.8,1,1.0,0.9,0.8002169927793782,0.61888,26729,50000,"{'snorkel_first_run': 10.208175420761108, 'snorkel_run_after_fix': 22.86116099357605, 'solver_runtime': 1.1322200298309326, 'repair_time': 44.50043702125549}",189.0,7.285714285714286,7,16.714285714285715,78.70199346542358,0.7,0.8
imdb,0.42778,0.6137,40,46.4870719909668,0.8,2,1.0,0.9,0.8002169927793782,0.6137,26729,50000,"{'snorkel_first_run': 10.715002536773682, 'snorkel_run_after_fix': 21.253835678100586, 'solver_runtime': 1.2455739974975586, 'repair_time': 46.4870719909668}",185.0,6.285714285714286,7,15.857142857142858,79.70148420333862,0.7,0.8
imdb,0.42778,0.58002,40,42.04167675971985,0.8,3,1.0,1.0,0.8002169927793782,0.58002,26729,50000,"{'snorkel_first_run': 10.083672285079956, 'snorkel_run_after_fix': 21.08695363998413, 'solver_runtime': 1.2771270275115967, 'repair_time': 42.04167675971985}",188.0,6.714285714285714,7,15.285714285714286,74.48942971229553,0.7,0.8
imdb,0.42778,0.5394,40,55.541287422180176,0.8,4,0.9,1.0,0.8002169927793782,0.5394,26729,50000,"{'snorkel_first_run': 10.024061679840088, 'snorkel_run_after_fix': 20.553343534469604, 'solver_runtime': 1.265310287475586, 'repair_time': 55.541287422180176}",182.0,6.428571428571429,7,15.571428571428571,87.38400292396545,0.7,0.8
imdb,0.42778,0.5446,40,42.381046295166016,0.8,5,1.0,1.0,0.8002169927793782,0.5446,26729,50000,"{'snorkel_first_run': 14.196355819702148, 'snorkel_run_after_fix': 31.01137113571167, 'solver_runtime': 1.3619906902313232, 'repair_time': 42.381046295166016}",185.0,7.142857142857143,7,17.285714285714285,88.95076394081116,0.7,0.8
imdb,0.42778,0.56034,40,104.52868604660034,0.8,6,1.0,0.95,0.8002169927793782,0.56034,26729,50000,"{'snorkel_first_run': 131.5664336681366, 'snorkel_run_after_fix': 159.20771074295044, 'solver_runtime': 2.301403045654297, 'repair_time': 104.52868604660034}",183.0,7.714285714285714,7,19.571428571428573,397.6042335033417,0.7,0.8
imdb,0.42778,0.57088,40,73.16711449623108,0.8,7,1.0,1.0,0.8002169927793782,0.57088,26729,50000,"{'snorkel_first_run': 133.19607996940613, 'snorkel_run_after_fix': 160.28701376914978, 'solver_runtime': 3.4795022010803223, 'repair_time': 73.16711449623108}",188.0,7.142857142857143,7,17.0,370.1297104358673,0.7,0.8
imdb,0.42778,0.61772,40,30.06544542312622,0.8,11,1.0,0.8,0.8002169927793782,0.61772,26729,50000,"{'snorkel_first_run': 10.548194885253906, 'snorkel_run_after_fix': 22.007591247558594, 'solver_runtime': 1.153731346130371, 'repair_time': 30.06544542312622}",186.0,7.428571428571429,7,18.428571428571427,63.77496290206909,0.7,0.8
imdb,0.42778,0.55976,40,27.40261197090149,0.8,12,1.0,0.85,0.8002169927793782,0.55976,26729,50000,"{'snorkel_first_run': 10.694700717926025, 'snorkel_run_after_fix': 21.16944146156311, 'solver_runtime': 1.2425107955932617, 'repair_time': 27.40261197090149}",178.0,6.142857142857143,7,17.0,60.50926494598389,0.7,0.8
imdb,0.42778,0.54134,40,43.278852701187134,0.8,13,0.8,0.9,0.8002169927793782,0.54134,26729,50000,"{'snorkel_first_run': 14.32332968711853, 'snorkel_run_after_fix': 20.76873803138733, 'solver_runtime': 1.123676061630249, 'repair_time': 43.278852701187134}",181.0,6.857142857142857,7,15.285714285714286,79.49459648132324,0.7,0.8
imdb,0.42778,0.5903,40,47.305743932724,0.8,14,0.95,1.0,0.8002169927793782,0.5903,26729,50000,"{'snorkel_first_run': 10.15380048751831, 'snorkel_run_after_fix': 22.15969204902649, 'solver_runtime': 1.2900190353393555, 'repair_time': 47.305743932724}",173.0,6.857142857142857,7,15.285714285714286,80.90925550460815,0.7,0.8
imdb,0.42778,0.6285,40,35.72667145729065,0.8,15,1.0,0.65,0.8002169927793782,0.6285,26729,50000,"{'snorkel_first_run': 14.505549192428589, 'snorkel_run_after_fix': 20.307564735412598, 'solver_runtime': 1.364626407623291, 'repair_time': 35.72667145729065}",184.0,6.571428571428571,7,15.285714285714286,71.90441179275513,0.7,0.8
painter_architect,0.8519123896698267,0.7751716247139588,40,8.644922733306885,0.8,1,1.0,0.85,0.8988531516771578,0.7751716247139588,11597,12236,"{'snorkel_first_run': 4.605517864227295, 'snorkel_run_after_fix': 8.65874981880188, 'solver_runtime': 1.300335168838501, 'repair_time': 8.644922733306885}",228.0,8.9,10,21.2,23.20952558517456,0.7,0.8
painter_architect,0.8519123896698267,0.8176691729323309,40,9.657799243927002,0.8,3,1.0,0.95,0.8988531516771578,0.8176691729323309,11597,12236,"{'snorkel_first_run': 5.4372642040252686, 'snorkel_run_after_fix': 8.880846500396729, 'solver_runtime': 1.4635789394378662, 'repair_time': 9.657799243927002}",237.0,9.0,10,21.4,25.439488887786865,0.7,0.8
painter_architect,0.8519123896698267,0.8148904870872834,40,8.764157056808472,0.8,4,1.0,1.0,0.8988531516771578,0.8148904870872834,11597,12236,"{'snorkel_first_run': 4.341569185256958, 'snorkel_run_after_fix': 11.254006147384644, 'solver_runtime': 2.530367851257324, 'repair_time': 8.764157056808472}",231.0,9.8,10,23.4,26.8901002407074,0.7,0.8
painter_architect,0.8519123896698267,0.8357306309251389,40,8.184818983078003,0.8,5,1.0,0.6,0.8988531516771578,0.8357306309251389,11597,12236,"{'snorkel_first_run': 5.1681435108184814, 'snorkel_run_after_fix': 9.216981887817383, 'solver_runtime': 1.9231393337249756, 'repair_time': 8.184818983078003}",236.0,8.6,10,20.8,24.493083715438843,0.7,0.8
painter_architect,0.8519123896698267,0.8628636809414841,40,25.184884548187256,0.8,6,1.0,0.95,0.8988531516771578,0.8628636809414841,11597,12236,"{'snorkel_first_run': 175.54636764526367, 'snorkel_run_after_fix': 136.07274651527405, 'solver_runtime': 4.661706209182739, 'repair_time': 25.184884548187256}",236.0,9.8,10,21.0,341.4657049179077,0.7,0.8
painter_architect,0.8519123896698267,0.7127329192546584,40,7.188095331192017,0.8,11,1.0,0.9,0.8988531516771578,0.7127329192546584,11597,12236,"{'snorkel_first_run': 4.140476703643799, 'snorkel_run_after_fix': 8.589432716369629, 'solver_runtime': 1.4537200927734375, 'repair_time': 7.188095331192017}",225.0,8.4,10,18.4,21.37172484397888,0.7,0.8
painter_architect,0.8519123896698267,0.8293559986923831,40,9.37296748161316,0.8,12,1.0,1.0,0.8988531516771578,0.8293559986923831,11597,12236,"{'snorkel_first_run': 4.205662488937378, 'snorkel_run_after_fix': 9.360414028167725, 'solver_runtime': 1.2737398147583008, 'repair_time': 9.37296748161316}",212.0,7.9,10,17.0,24.21278381347656,0.7,0.8
painter_architect,0.8519123896698267,0.7510624387054593,40,7.860487937927246,0.8,13,0.95,1.0,0.8988531516771578,0.7510624387054593,11597,12236,"{'snorkel_first_run': 4.210925817489624, 'snorkel_run_after_fix': 12.563922643661499, 'solver_runtime': 1.5078580379486084, 'repair_time': 7.860487937927246}",233.0,8.7,10,20.2,26.143194437026978,0.7,0.8
painter_architect,0.8519123896698267,0.713223275580255,40,9.2490553855896,0.8,14,1.0,0.95,0.8988531516771578,0.713223275580255,11597,12236,"{'snorkel_first_run': 4.375075340270996, 'snorkel_run_after_fix': 9.88173222541809, 'solver_runtime': 1.607048511505127, 'repair_time': 9.2490553855896}",232.0,9.4,10,23.2,25.112911462783813,0.7,0.8
painter_architect,0.8519123896698267,0.8020594965675057,40,11.282848119735718,0.8,15,1.0,1.0,0.8988531516771578,0.8020594965675057,11597,12236,"{'snorkel_first_run': 5.061660289764404, 'snorkel_run_after_fix': 12.807175636291504, 'solver_runtime': 1.46817946434021, 'repair_time': 11.282848119735718}",231.0,9.5,10,21.8,30.61986351013184,0.7,0.8
physician_professor,0.8123577355165578,0.8551105073793964,40,12.022441148757936,0.8,1,1.0,1.0,0.8293944562100568,0.8551105073793964,53357,54476,"{'snorkel_first_run': 37.86122179031372, 'snorkel_run_after_fix': 67.73491597175598, 'solver_runtime': 2.7020585536956787, 'repair_time': 12.022441148757935}",413.0,7.555555555555555,18,18.55555555555556,120.32063746452332,0.7,0.8
physician_professor,0.8123577355165578,0.8163594977604817,40,8.98773455619812,0.8,2,1.0,1.0,0.8293944562100568,0.8163594977604817,53357,54476,"{'snorkel_first_run': 50.30349373817444, 'snorkel_run_after_fix': 91.36242818832397, 'solver_runtime': 2.826045513153076, 'repair_time': 8.98773455619812}",428.0,8.055555555555555,18,19.444444444444443,153.4797019958496,0.7,0.8
physician_professor,0.8123577355165578,0.8360011748292826,40,9.828503608703612,0.8,3,1.0,1.0,0.8293944562100568,0.8360011748292826,53357,54476,"{'snorkel_first_run': 39.77151656150818, 'snorkel_run_after_fix': 62.08561873435974, 'solver_runtime': 3.304678440093994, 'repair_time': 9.828503608703613}",431.0,6.333333333333333,18,15.666666666666666,114.99031734466551,0.7,0.8
physician_professor,0.8123577355165578,0.8371943608194434,40,8.657819509506226,0.8,4,1.0,1.0,0.8293944562100568,0.8371943608194434,53357,54476,"{'snorkel_first_run': 38.279279708862305, 'snorkel_run_after_fix': 60.91963291168213, 'solver_runtime': 2.998098611831665, 'repair_time': 8.657819509506226}",426.0,6.277777777777778,18,13.666666666666666,110.85483074188232,0.7,0.8
physician_professor,0.8123577355165578,0.8143402599309788,40,9.21568512916565,0.8,5,1.0,0.9,0.8293944562100568,0.8143402599309788,53357,54476,"{'snorkel_first_run': 38.42040038108826, 'snorkel_run_after_fix': 68.21519756317139, 'solver_runtime': 3.789663553237915, 'repair_time': 9.21568512916565}",442.0,7.333333333333333,18,17.555555555555557,119.6409466266632,0.7,0.8
physician_professor,0.8123577355165578,0.7840700491959762,40,15.672082901000977,0.8,6,1.0,1.0,0.8293944562100568,0.7840700491959762,53357,54476,"{'snorkel_first_run': 215.11667108535767, 'snorkel_run_after_fix': 290.121675491333, 'solver_runtime': 4.768245458602905, 'repair_time': 15.672082901000977}",414.0,7.0,18,15.88888888888889,525.6786749362946,0.7,0.8
physician_professor,0.8123577355165578,0.8393604523092738,40,16.14560580253601,0.8,7,1.0,1.0,0.8293944562100568,0.8393604523092738,53357,54476,"{'snorkel_first_run': 207.373544216156, 'snorkel_run_after_fix': 256.04055428504944, 'solver_runtime': 5.536365509033203, 'repair_time': 16.14560580253601}",449.0,7.277777777777778,18,18.666666666666668,485.09606981277466,0.7,0.8
physician_professor,0.8123577355165578,0.8702547911006682,40,10.404993772506714,0.8,11,1.0,1.0,0.8293944562100568,0.8702547911006682,53357,54476,"{'snorkel_first_run': 38.81375765800476, 'snorkel_run_after_fix': 66.53040432929993, 'solver_runtime': 7.703044891357422, 'repair_time': 10.404993772506714}",456.0,7.944444444444445,18,17.88888888888889,123.45220065116882,0.7,0.8
physician_professor,0.8123577355165578,0.8565790439826713,40,8.743635892868042,0.8,12,1.0,1.0,0.8293944562100568,0.8565790439826713,53357,54476,"{'snorkel_first_run': 39.16672158241272, 'snorkel_run_after_fix': 68.52942109107971, 'solver_runtime': 2.8699851036071777, 'repair_time': 8.743635892868042}",415.0,7.722222222222222,18,17.555555555555557,119.30976366996764,0.7,0.8
physician_professor,0.8123577355165578,0.8311182906233938,40,12.333484172821043,0.8,13,0.95,0.9,0.8293944562100568,0.8311182906233938,53357,54476,"{'snorkel_first_run': 40.39166879653931, 'snorkel_run_after_fix': 67.8929967880249, 'solver_runtime': 2.8989145755767822, 'repair_time': 12.333484172821045}",436.0,6.888888888888889,18,15.11111111111111,123.51706433296204,0.7,0.8
