explainer,num_s_with_A,num_s_not_with_A,num_result_A,num_resul_notA,score
"{'words': ['subscribe'], 'funcs': [func: keyword_song, func: short_comment]}",40,331,9,182,-0.3248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_song, func: short_comment]}",40,331,9,182,-0.3248489425981873
"{'words': ['subscribe'], 'funcs': [func: regex_link, func: keyword_song, func: short_comment]}",40,331,9,182,-0.3248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: regex_link, func: keyword_song, func: short_comment]}",40,331,9,182,-0.3248489425981873
"{'words': ['subscribe'], 'funcs': [func: short_comment]}",40,331,6,182,-0.39984894259818726
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: short_comment]}",40,331,6,182,-0.39984894259818726
"{'words': ['subscribe'], 'funcs': [func: regex_link, func: short_comment]}",40,331,6,182,-0.39984894259818726
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: regex_link, func: short_comment]}",40,331,6,182,-0.39984894259818726
"{'words': ['subscribe'], 'funcs': [func: keyword_my, func: keyword_song, func: short_comment]}",40,331,5,182,-0.4248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_song, func: short_comment]}",40,331,5,182,-0.4248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_my, func: regex_link, func: keyword_song, func: short_comment]}",40,331,5,182,-0.4248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: regex_link, func: keyword_song, func: short_comment]}",40,331,5,182,-0.4248489425981873
"{'words': ['shakira'], 'funcs': [func: keyword_my]}",40,331,0,145,-0.4380664652567976
"{'words': ['shakira'], 'funcs': [func: keyword_subscribe]}",40,331,0,145,-0.4380664652567976
"{'words': ['shakira'], 'funcs': [func: regex_link]}",40,331,0,145,-0.4380664652567976
"{'words': ['shakira'], 'funcs': [func: keyword_my, func: keyword_subscribe]}",40,331,0,145,-0.4380664652567976
"{'words': ['shakira'], 'funcs': [func: keyword_my, func: regex_link]}",40,331,0,145,-0.4380664652567976
"{'words': ['shakira'], 'funcs': [func: keyword_subscribe, func: regex_link]}",40,331,0,145,-0.4380664652567976
"{'words': ['shakira'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: regex_link]}",40,331,0,145,-0.4380664652567976
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_song]}",40,331,4,182,-0.4498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_song]}",40,331,4,182,-0.4498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: regex_link, func: keyword_song]}",40,331,4,182,-0.4498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: regex_link, func: keyword_song]}",40,331,4,182,-0.4498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_song]}",40,331,3,182,-0.4748489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_my, func: keyword_song]}",40,331,3,182,-0.4748489425981873
"{'words': ['subscribe'], 'funcs': [func: regex_link, func: keyword_song]}",40,331,3,182,-0.4748489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_my, func: regex_link, func: keyword_song]}",40,331,3,182,-0.4748489425981873
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_my]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_subscribe]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: regex_link]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_song]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_shakira, func: keyword_subscribe]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_my, func: regex_link]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_my, func: keyword_song]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_subscribe, func: regex_link]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_subscribe, func: keyword_song]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_subscribe, func: short_comment]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: regex_link, func: keyword_song]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: regex_link]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: keyword_song]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: regex_link]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: keyword_song]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: short_comment]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_my, func: regex_link, func: keyword_song]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_subscribe, func: regex_link, func: keyword_song]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_subscribe, func: regex_link, func: short_comment]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_subscribe, func: keyword_song, func: short_comment]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: regex_link]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: keyword_song]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: regex_link, func: keyword_song]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: regex_link, func: keyword_song]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: regex_link, func: short_comment]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: keyword_song, func: short_comment]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_subscribe, func: regex_link, func: keyword_song, func: short_comment]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: regex_link, func: keyword_song]}",1,370,0,182,-0.4918918918918919
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: regex_link, func: keyword_song, func: short_comment]}",1,370,0,182,-0.4918918918918919
"{'words': ['subscribe'], 'funcs': [func: keyword_my, func: short_comment]}",40,331,2,182,-0.4998489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: short_comment]}",40,331,2,182,-0.4998489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_my, func: regex_link, func: short_comment]}",40,331,2,182,-0.4998489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: regex_link, func: short_comment]}",40,331,2,182,-0.4998489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira]}",40,331,1,182,-0.5248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my]}",40,331,1,182,-0.5248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: regex_link]}",40,331,1,182,-0.5248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: regex_link]}",40,331,1,182,-0.5248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: short_comment]}",40,331,1,182,-0.5248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: short_comment]}",40,331,1,182,-0.5248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: regex_link, func: short_comment]}",40,331,1,182,-0.5248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: keyword_song, func: short_comment]}",40,331,1,182,-0.5248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: regex_link, func: short_comment]}",40,331,1,182,-0.5248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: keyword_song, func: short_comment]}",40,331,1,182,-0.5248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: regex_link, func: keyword_song, func: short_comment]}",40,331,1,182,-0.5248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: regex_link, func: keyword_song, func: short_comment]}",40,331,1,182,-0.5248489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_my]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_subscribe]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: regex_link]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_subscribe]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_my, func: regex_link]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_subscribe, func: regex_link]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_subscribe, func: keyword_song]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_subscribe, func: short_comment]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: regex_link]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: keyword_song]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: regex_link]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: keyword_song]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: short_comment]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_subscribe, func: regex_link, func: keyword_song]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_subscribe, func: regex_link, func: short_comment]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_subscribe, func: keyword_song, func: short_comment]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: regex_link]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: keyword_song]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: regex_link, func: keyword_song]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: regex_link, func: keyword_song]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: regex_link, func: short_comment]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: keyword_song, func: short_comment]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_subscribe, func: regex_link, func: keyword_song, func: short_comment]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: regex_link, func: keyword_song]}",40,331,0,182,-0.5498489425981873
"{'words': ['subscribe'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: regex_link, func: keyword_song, func: short_comment]}",40,331,0,182,-0.5498489425981873
